glyph_name,rename,usv
ExclamationMrk,exclam,0021
QuotMrk,quotedbl,0022
NumSgn,numbersign,0023
DollarSgn,dollar,0024
PercentSgn,percent,0025
Ampersand,ampersand,0026
Apos,quotesingle,0027
LftParen,parenleft,0028
RtParen,parenright,0029
Asterisk,asterisk,002A
PlusSgn,plus,002B
Comma,comma,002C
HyphenMinus,hyphen,002D
FullStop,period,002E
Solidus,slash,002F
DigitZero,zero,0030
DigitOne,one,0031
DigitTwo,two,0032
DigitThree,three,0033
DigitFour,four,0034
DigitFive,five,0035
DigitSix,six,0036
DigitSeven,seven,0037
DigitEight,eight,0038
DigitNine,nine,0039
Colon,colon,003A
Semicolon,semicolon,003B
LTSgn,less,003C
EqSgn,equal,003D
GTSgn,greater,003E
QstnMrk,question,003F
AtSgn,at,0040
LtnCapA,A,0041
LtnCapB,B,0042
LtnCapC,C,0043
LtnCapD,D,0044
LtnCapE,E,0045
LtnCapF,F,0046
LtnCapG,G,0047
LtnCapH,H,0048
LtnCapI,I,0049
LtnCapJ,J,004A
LtnCapK,K,004B
LtnCapL,L,004C
LtnCapM,M,004D
LtnCapN,N,004E
LtnCapO,O,004F
LtnCapP,P,0050
LtnCapQ,Q,0051
LtnCapR,R,0052
LtnCapS,S,0053
LtnCapT,T,0054
LtnCapU,U,0055
LtnCapV,V,0056
LtnCapW,W,0057
LtnCapX,X,0058
LtnCapY,Y,0059
LtnCapZ,Z,005A
LftSqrBrac,bracketleft,005B
ReverseSolidus,backslash,005C
RtSqrBrac,bracketright,005D
CircumAccent,asciicircum,005E
LowLine,underscore,005F
GraveAccent,grave,0060
LtnSmA,a,0061
LtnSmB,b,0062
LtnSmC,c,0063
LtnSmD,d,0064
LtnSmE,e,0065
LtnSmF,f,0066
LtnSmG,g,0067
LtnSmH,h,0068
LtnSmI,i,0069
LtnSmJ,j,006A
LtnSmK,k,006B
LtnSmL,l,006C
LtnSmM,m,006D
LtnSmN,n,006E
LtnSmO,o,006F
LtnSmP,p,0070
LtnSmQ,q,0071
LtnSmR,r,0072
LtnSmS,s,0073
LtnSmT,t,0074
LtnSmU,u,0075
LtnSmV,v,0076
LtnSmW,w,0077
LtnSmX,x,0078
LtnSmY,y,0079
LtnSmZ,z,007A
LftCurlyBrac,braceleft,007B
VertLine,bar,007C
RtCurlyBrac,braceright,007D
Tilde,asciitilde,007E
NoBreakSpace,nbspace,00A0
InvExclamationMrk,exclamdown,00A1
CentSgn,cent,00A2
PoundSgn,sterling,00A3
CurrSgn,currency,00A4
YenSgn,yen,00A5
BrokenBar,brokenbar,00A6
SectionSgn,section,00A7
Diaer,dieresis,00A8
CopyrightSgn,copyright,00A9
FemOrdIndicator,ordfeminine,00AA
LftPtngDblAngQuotMrk,guillemetleft,00AB
NotSgn,logicalnot,00AC
Hyphen_Soft,softhyphen,00AD
RegisteredSgn,registered,00AE
Macron,macron,00AF
DegreeSgn,degree,00B0
PlusMinusSgn,plusminus,00B1
SupTwo,twosuperior,00B2
SupThree,threesuperior,00B3
AcuteAccent,acute,00B4
MicroSgn,micro,00B5
PilcrowSgn,paragraph,00B6
MiddleDot,periodcentered,00B7
Cedilla,cedilla,00B8
SupOne,onesuperior,00B9
MascOrdIndicator,ordmasculine,00BA
RtPtngDblAngQuotMrk,guillemetright,00BB
VulgFracOneQuarter,onequarter,00BC
VulgFracOneHalf,onehalf,00BD
VulgFracThreeQuarters,threequarters,00BE
InvQstnMrk,questiondown,00BF
LtnCapAGrave,Agrave,00C0
LtnCapAAcute,Aacute,00C1
LtnCapACircum,Acircumflex,00C2
LtnCapATilde,Atilde,00C3
LtnCapADiaer,Adieresis,00C4
LtnCapARingAbv,Aring,00C5
LtnCapAe,AE,00C6
LtnCapCCedilla,Ccedilla,00C7
LtnCapEGrave,Egrave,00C8
LtnCapEAcute,Eacute,00C9
LtnCapECircum,Ecircumflex,00CA
LtnCapEDiaer,Edieresis,00CB
LtnCapIGrave,Igrave,00CC
LtnCapIAcute,Iacute,00CD
LtnCapICircum,Icircumflex,00CE
LtnCapIDiaer,Idieresis,00CF
LtnCapEth,Eth,00D0
LtnCapNTilde,Ntilde,00D1
LtnCapOGrave,Ograve,00D2
LtnCapOAcute,Oacute,00D3
LtnCapOCircum,Ocircumflex,00D4
LtnCapOTilde,Otilde,00D5
LtnCapODiaer,Odieresis,00D6
MultSgn,multiply,00D7
LtnCapOStrk,Oslash,00D8
LtnCapUGrave,Ugrave,00D9
LtnCapUAcute,Uacute,00DA
LtnCapUCircum,Ucircumflex,00DB
LtnCapUDiaer,Udieresis,00DC
LtnCapYAcute,Yacute,00DD
LtnCapThorn,Thorn,00DE
LtnSmSharpS,germandbls,00DF
LtnSmAGrave,agrave,00E0
LtnSmAAcute,aacute,00E1
LtnSmACircum,acircumflex,00E2
LtnSmATilde,atilde,00E3
LtnSmADiaer,adieresis,00E4
LtnSmARingAbv,aring,00E5
LtnSmAe,ae,00E6
LtnSmCCedilla,ccedilla,00E7
LtnSmEGrave,egrave,00E8
LtnSmEAcute,eacute,00E9
LtnSmECircum,ecircumflex,00EA
LtnSmEDiaer,edieresis,00EB
LtnSmIGrave,igrave,00EC
LtnSmIAcute,iacute,00ED
LtnSmICircum,icircumflex,00EE
LtnSmIDiaer,idieresis,00EF
LtnSmEth,eth,00F0
LtnSmNTilde,ntilde,00F1
LtnSmOGrave,ograve,00F2
LtnSmOAcute,oacute,00F3
LtnSmOCircum,ocircumflex,00F4
LtnSmOTilde,otilde,00F5
LtnSmODiaer,odieresis,00F6
DivSgn,divide,00F7
LtnSmOStrk,oslash,00F8
LtnSmUGrave,ugrave,00F9
LtnSmUAcute,uacute,00FA
LtnSmUCircum,ucircumflex,00FB
LtnSmUDiaer,udieresis,00FC
LtnSmYAcute,yacute,00FD
LtnSmThorn,thorn,00FE
LtnSmYDiaer,ydieresis,00FF
LtnSmDotlessI,idotless,0131
LtnCapLigOe,OE,0152
LtnSmLigOe,oe,0153
LtnCapSCaron,Scaron,0160
LtnSmSCaron,scaron,0161
LtnCapYDiaer,Ydieresis,0178
LtnCapZCaron,Zcaron,017D
LtnSmZCaron,zcaron,017E
LtnSmFHook,florin,0192
ModCircumAccent,circumflex,02C6
Caron,caron,02C7
Breve,breve,02D8
DotAbv,dotaccent,02D9
RingAbv,ring,02DA
Ogonek,ogonek,02DB
SmTilde,tilde,02DC
DblAcuteAccent,hungarumlaut,02DD
CombGraphemeJoiner,graphemejoinercomb,034F
GrSmPi,pi,03C0
EnQuad,enquad,2000
EmQuad,emquad,2001
EnSpace,enspace,2002
EmSpace,emspace,2003
ThreePerEmSpace,threeperemspace,2004
FourPerEmSpace,fourperemspace,2005
SixPerEmSpace,sixperemspace,2006
FigureSpace,figurespace,2007
PuncSpace,punctuationspace,2008
ThinSpace,thinspace,2009
HairSpace,hairspace,200A
ZeroWidthSpace,zerowidthspace,200B
ZeroWidthNonJoiner,zerowidthnonjoiner,200C
ZeroWidthJoiner,zerowidthjoiner,200D
Hyphen,hyphentwo,2010
NonBreakingHyphen,nonbreakinghyphen,2011
FigureDash,figuredash,2012
EnDash,endash,2013
EmDash,emdash,2014
HorizBar,horizontalbar,2015
LftSglQuotMrk,quoteleft,2018
RtSglQuotMrk,quoteright,2019
SglLow9QuotMrk,quotesinglbase,201A
LftDblQuotMrk,quotedblleft,201C
RtDblQuotMrk,quotedblright,201D
DblLow9QuotMrk,quotedblbase,201E
Dagger,dagger,2020
DblDagger,daggerdbl,2021
Bullet,bullet,2022
HorizEllipsis,ellipsis,2026
HyphenationPt,hyphenationpoint,2027
LineSep,lineseparator,2028
ParagraphSeparator,paragraphseparator,2029
NarrowNoBreakSpace,narrownbspace,202F
PerMilleSgn,perthousand,2030
SglLftPtngAngQuotMrk,guilsinglleft,2039
SglRtPtngAngQuotMrk,guilsinglright,203A
FracSlash,fraction,2044
WordJoiner,wordjoiner,2060
SupFour,foursuperior,2074
EuroSgn,euro,20AC
TradeMrkSgn,trademark,2122
PartialDiff,partialdiff,2202
Increment,increment,2206
MinusSgn,minus,2212
BulletOperator,bulletoperator,2219
SqrRoot,radical,221A
Infinity,infinity,221E
Integral,integral,222B
AlmostEqTo,approxequal,2248
NotEqTo,notequal,2260
LTOrEqTo,lessequal,2264
GTOrEqTo,greaterequal,2265
OpnBx,blank,2423
Lozenge,lozenge,25CA
DottedCirc,dottedCircle,25CC
FontBslnSideBrngMrkrLft,sidebearingleft,F130
FontBslnSideBrngMrkrRt,sidebearingright,F131
LtnSmLigFi,fi,FB01
LtnSmLigFl,fl,FB02
VS1,VS1,FE00
VS2,VS2,FE01
VS3,VS3,FE02
VS4,VS4,FE03
VS5,VS5,FE04
VS6,VS6,FE05
VS7,VS7,FE06
VS8,VS8,FE07
VS9,VS9,FE08
VS10,VS10,FE09
VS11,VS11,FE0A
VS12,VS12,FE0B
VS13,VS13,FE0C
VS14,VS14,FE0D
VS15,VS15,FE0E
VS16,VS16,FE0F
ZeroWidthNoBreakSpace,zeroWidthNoBreakSpace,FEFF
ObjectReplChar,objectReplacementCharacter,FFFC
ReplChar,replacementCharacter,FFFD
RupeeSgn,rupee,20A8
IndianRupeeSgn,rupeeIndian,20B9
CombGrave,gravecomb,0300
CombAcute,acutecomb,0301
CombCircum,circumflexcomb,0302
